[1018/160756.878:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1018/175949.338:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.380:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.387:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.578:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.684:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.711:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.852:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.853:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.873:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.903:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.972:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175949.972:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175950.050:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175950.069:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175950.071:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175950.080:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175950.082:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[1018/175950.238:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
